train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
wikinre,Gemma3-1B,2,conll04,0.4603,0.4076,0.4199,0.4527,0.3175,0.3733
wikinre,Qwen2.5-1.5B,2,rebel,,,,,,
wikinre,Qwen2.5-1.5B,2,rebel-full,,,,,,
wikinre,Qwen2.5-1.5B,2,lagrange,0.6118,0.4208,0.4560,0.5943,0.3393,0.4319
wikinre,Qwen2.5-1.5B,2,tum_p99,0.4034,0.5022,0.4122,0.3938,0.4233,0.4080
wikinre,Qwen2.5-1.5B,2,wikinre,0.9583,0.9625,0.9583,0.9454,0.9552,0.9503
wikinre,Qwen2.5-1.5B,2,tum_e3,,,,,,
wikinre,Qwen2.5-1.5B,2,nyt,0.2448,0.3821,0.2745,0.2270,0.3633,0.2794
wikinre,Qwen2.5-1.5B,2,webnlg,0.4725,0.5647,0.4886,0.4468,0.5353,0.4871
wikinre,Qwen2.5-1.5B,2,conll04,0.3697,0.3182,0.3279,0.3672,0.2828,0.3195
wikinre,Llama3.2-1B,2,rebel,,,,,,
wikinre,Llama3.2-1B,2,rebel-full,,,,,,
wikinre,Llama3.2-1B,2,lagrange,0.4900,0.4295,0.4063,0.3888,0.3616,0.3747
wikinre,Llama3.2-1B,2,tum_p99,0.3387,0.5344,0.3701,0.2725,0.4605,0.3424
wikinre,Llama3.2-1B,2,wikinre,0.9572,0.9610,0.9567,0.9436,0.9531,0.9484
wikinre,Llama3.2-1B,2,tum_e3,,,,,,
wikinre,Llama3.2-1B,2,nyt,0.1092,0.4021,0.1449,0.0770,0.3827,0.1282
wikinre,Llama3.2-1B,2,webnlg,0.3590,0.5156,0.3909,0.2993,0.4910,0.3719
wikinre,Llama3.2-1B,2,conll04,0.4032,0.3432,0.3582,0.4029,0.2883,0.3361
tum_e3,Gemma3-1B,2,rebel,0.4283,0.5052,0.4176,0.3341,0.4523,0.3843
tum_e3,Gemma3-1B,2,rebel-full,,,,,,
tum_e3,Gemma3-1B,2,lagrange,0.6232,0.5376,0.5387,0.5471,0.4940,0.5192
tum_e3,Gemma3-1B,2,tum_p99,,,,,,
tum_e3,Gemma3-1B,2,wikinre,0.5967,0.8671,0.6423,0.3118,0.8490,0.4561
tum_e3,Gemma3-1B,2,tum_e3,0.8243,0.8054,0.7930,0.6861,0.7131,0.6994
tum_e3,Gemma3-1B,2,nyt,0.0365,0.1073,0.0458,0.0331,0.1002,0.0497
tum_e3,Gemma3-1B,2,webnlg,0.4352,0.4965,0.4252,0.3487,0.4613,0.3972
tum_e3,Gemma3-1B,2,conll04,0.2614,0.3184,0.2665,0.2377,0.2749,0.2549
tum_e3,Qwen2.5-1.5B,2,rebel,0.3477,0.5683,0.3895,0.2810,0.5393,0.3695
tum_e3,Qwen2.5-1.5B,2,rebel-full,,,,,,
tum_e3,Qwen2.5-1.5B,2,lagrange,0.5483,0.6000,0.5387,0.4842,0.5615,0.5200
tum_e3,Qwen2.5-1.5B,2,tum_p99,,,,,,
tum_e3,Qwen2.5-1.5B,2,wikinre,0.3648,0.8595,0.4597,0.2145,0.8436,0.3420
tum_e3,Qwen2.5-1.5B,2,tum_e3,0.8050,0.8364,0.8009,0.6893,0.7611,0.7234
tum_e3,Qwen2.5-1.5B,2,nyt,0.2137,0.2751,0.2176,0.1893,0.2535,0.2167
tum_e3,Qwen2.5-1.5B,2,webnlg,0.4176,0.6504,0.4811,0.3682,0.6289,0.4644
tum_e3,Qwen2.5-1.5B,2,conll04,0.3468,0.4860,0.3613,0.2722,0.4186,0.3299
tum_e3,Llama3.2-1B,2,rebel,0.4734,0.4861,0.4386,0.3972,0.4150,0.4059
tum_e3,Llama3.2-1B,2,rebel-full,,,,,,
tum_e3,Llama3.2-1B,2,lagrange,0.6671,0.5253,0.5593,0.6186,0.4715,0.5352
tum_e3,Llama3.2-1B,2,tum_p99,,,,,,
tum_e3,Llama3.2-1B,2,wikinre,0.6691,0.8704,0.7144,0.4553,0.8501,0.5930
tum_e3,Llama3.2-1B,2,tum_e3,0.8558,0.8094,0.8130,0.7664,0.7128,0.7387
tum_e3,Llama3.2-1B,2,nyt,0.1422,0.2093,0.1518,0.1315,0.1825,0.1528
tum_e3,Llama3.2-1B,2,webnlg,0.4933,0.4812,0.4472,0.4041,0.4475,0.4247
tum_e3,Llama3.2-1B,2,conll04,0.3294,0.3279,0.3082,0.3020,0.2820,0.2917
